CMDLINE /Users/gould29/opt/anaconda3/bin/python3.8 run_compare.py
MEM 0.011719 1617396523.7339
MEM 8.605469 1617396523.8377
MEM 14.835938 1617396523.9428
MEM 19.816406 1617396524.0434
MEM 23.710938 1617396524.1486
MEM 29.121094 1617396524.2500
MEM 34.316406 1617396524.3508
MEM 38.464844 1617396524.4532
MEM 41.988281 1617396524.5579
MEM 42.000000 1617396524.6599
MEM 46.027344 1617396524.7604
MEM 62.656250 1617396524.8627
MEM 83.339844 1617396524.9641
MEM 87.238281 1617396525.0651
MEM 97.046875 1617396525.1673
MEM 102.984375 1617396525.2712
MEM 105.460938 1617396525.3744
MEM 107.300781 1617396525.4761
MEM 109.042969 1617396525.5778
MEM 112.562500 1617396525.6797
MEM 117.687500 1617396525.7799
MEM 118.492188 1617396525.8806
MEM 118.625000 1617396525.9808
MEM 118.636719 1617396526.0840
MEM 119.000000 1617396526.1874
MEM 119.710938 1617396526.2891
MEM 122.933594 1617396526.3896
MEM 125.074219 1617396526.4948
MEM 125.367188 1617396526.5983
MEM 135.125000 1617396526.7002
MEM 135.519531 1617396526.8047
MEM 135.554688 1617396526.9080
MEM 135.667969 1617396527.0122
MEM 153.398438 1617396527.1144
MEM 202.710938 1617396527.2153
MEM 235.058594 1617396527.3205
MEM 279.886719 1617396527.4209
MEM 330.332031 1617396527.5245
MEM 381.488281 1617396527.6298
MEM 429.066406 1617396527.7306
MEM 480.843750 1617396527.8358
MEM 528.597656 1617396527.9409
MEM 553.808594 1617396528.0462
MEM 553.808594 1617396528.1482
MEM 553.812500 1617396528.2526
MEM 553.812500 1617396528.3529
MEM 553.812500 1617396528.4584
MEM 553.812500 1617396528.5594
MEM 553.812500 1617396528.6606
MEM 553.812500 1617396528.7630
MEM 553.812500 1617396528.8644
MEM 553.812500 1617396528.9671
MEM 665.230469 1617396529.0711
MEM 784.968750 1617396529.1747
MEM 919.535156 1617396529.2749
MEM 974.121094 1617396529.3761
MEM 974.136719 1617396529.4771
MEM 1027.277344 1617396529.5786
MEM 1099.488281 1617396529.6827
MEM 1155.101562 1617396529.7834
MEM 1097.074219 1617396529.8840
MEM 913.171875 1617396529.9876
MEM 760.109375 1617396530.0898
MEM 597.929688 1617396530.1963
MEM 528.265625 1617396530.2970
MEM 561.863281 1617396530.3976
MEM 559.894531 1617396530.4984
MEM 641.687500 1617396530.5996
MEM 744.117188 1617396530.7005
MEM 848.488281 1617396530.8035
MEM 949.367188 1617396530.9082
MEM 995.218750 1617396531.0086
MEM 690.578125 1617396531.1105
MEM 645.203125 1617396531.2108
MEM 491.152344 1617396531.3187
MEM 488.851562 1617396531.4203
MEM 489.675781 1617396531.5247
MEM 492.507812 1617396531.6252
MEM 495.625000 1617396531.7260
MEM 497.777344 1617396531.8292
MEM 499.695312 1617396531.9299
MEM 504.167969 1617396532.0351
MEM 506.894531 1617396532.1355
MEM 510.562500 1617396532.2363
MEM 519.902344 1617396532.3414
MEM 545.421875 1617396532.4451
MEM 547.851562 1617396532.5459
MEM 549.984375 1617396532.6464
MEM 552.550781 1617396532.7472
MEM 555.390625 1617396532.8501
MEM 558.175781 1617396532.9537
MEM 560.644531 1617396533.0559
MEM 561.867188 1617396533.1582
MEM 561.929688 1617396533.2585
MEM 562.031250 1617396533.3591
MEM 563.648438 1617396533.4594
MEM 565.371094 1617396533.5616
MEM 567.679688 1617396533.6619
MEM 569.542969 1617396533.7626
MEM 571.011719 1617396533.8639
MEM 573.519531 1617396533.9642
MEM 574.019531 1617396534.0662
FUNC __main__.run_a 642.5234 1617396534.9399 645.3594 1617396535.3721 0
FUNC __main__.run_b 645.3594 1617396535.3723 645.4961 1617396535.4377 0
MEM 574.832031 1617396534.1707
MEM 575.371094 1617396534.2749
MEM 581.417969 1617396534.3787
MEM 595.167969 1617396534.4806
MEM 610.781250 1617396534.5812
MEM 615.472656 1617396534.6851
MEM 631.558594 1617396534.7879
MEM 641.261719 1617396534.8897
MEM 642.652344 1617396534.9907
MEM 644.261719 1617396535.0956
MEM 645.144531 1617396535.1969
MEM 645.292969 1617396535.2983
MEM 645.496094 1617396535.3992
MEM 645.503906 1617396535.4996
MEM 645.503906 1617396535.6009
MEM 643.386719 1617396535.7046
MEM 626.468750 1617396535.8083
MEM 579.972656 1617396535.9114
MEM 424.925781 1617396536.0117
MEM 172.730469 1617396536.1120
